age,salary,city_type,education_level,employment_type,marital_status,dependents,risk_level,financial_knowledge,monthly_expenses,current_savings,loan_amount,has_loans,investment_goal,emergency_fund_ratio,stocks,mutual_funds,gold_silver,bonds
43,135000,1,1,2,1,3,1,2,94500,25000,250000,1,2,0.26455026455026454,0.12499999999999999,0.3,0.2,0.375
22,71000,2,2,1,0,0,2,2,36000,25000,200000,1,3,0.6944444444444444,0.3,0.24,0.12333333333333332,0.33666666666666667
41,18000,3,3,3,1,2,1,1,9000,5000,0,0,2,0.5555555555555556,0.05,0.27,0.2,0.48
21,59000,2,1,2,0,0,2,2,21000,15000,70000,1,3,0.7142857142857143,0.305,0.24,0.12,0.3350000000000001
43,100000,1,2,1,1,2,1,2,78500,25000,660000,1,2,0.3184713375796178,0.12499999999999999,0.3,0.2,0.375
63,124000,3,1,2,2,1,2,2,43500,30000,0,0,1,0.6896551724137931,0.09499999999999997,0.21999999999999997,0.2,0.4850000000000001
49,148000,2,1,1,1,2,1,1,69500,45000,810000,1,1,0.6474820143884892,0.05,0.29,0.2,0.45999999999999996
57,128000,1,1,1,1,1,1,2,102500,50000,0,0,1,0.4878048780487805,0.05500000000000001,0.3,0.2,0.44500000000000006
21,16000,1,4,3,0,0,2,1,10000,5000,0,0,3,0.5,0.295,0.14999999999999997,0.12,0.43500000000000005
40,98000,2,3,1,1,3,1,1,63500,15000,430000,1,2,0.23622047244094488,0.05,0.29,0.2,0.45999999999999996
52,143000,2,4,1,1,2,1,1,79000,30000,840000,1,1,0.379746835443038,0.05,0.29,0.2,0.45999999999999996
31,19000,2,2,3,1,3,1,1,14000,5000,370000,1,2,0.35714285714285715,0.07499999999999998,0.29,0.2,0.43500000000000005
41,84000,3,1,2,1,1,2,1,39500,30000,0,0,2,0.759493670886076,0.145,0.16999999999999996,0.15666666666666662,0.5283333333333334
63,141000,2,2,1,2,0,2,2,53000,45000,600000,1,1,0.8490566037735849,0.09499999999999997,0.24,0.2,0.4650000000000001
44,161000,1,2,1,1,3,1,2,137000,30000,430000,1,2,0.21897810218978103,0.11999999999999998,0.3,0.2,0.38
46,170000,1,3,1,1,2,2,2,112000,65000,770000,1,1,0.5803571428571429,0.22999999999999998,0.19999999999999998,0.2,0.3700000000000001
61,205000,1,1,2,1,2,1,2,168500,75000,410000,1,1,0.44510385756676557,0.05,0.3,0.2,0.44999999999999996
47,102000,2,2,1,1,2,1,2,69000,40000,390000,1,1,0.5797101449275363,0.05499999999999999,0.33999999999999997,0.2,0.405
35,85000,1,1,1,1,2,2,2,54500,15000,870000,1,2,0.27522935779816515,0.285,0.19999999999999998,0.16666666666666666,0.3483333333333334
34,9000,2,2,4,1,2,1,1,6000,0,150000,1,2,0.0,0.05999999999999997,0.29,0.2,0.44999999999999996
63,134000,2,3,1,1,1,1,1,73500,40000,1170000,1,1,0.54421768707483,0.05,0.29,0.2,0.45999999999999996
22,51000,3,2,1,0,0,2,1,20000,10000,120000,1,3,0.5,0.24,0.16999999999999996,0.09333333333333332,0.4966666666666668
56,145000,1,2,1,1,3,1,2,123000,15000,680000,1,1,0.12195121951219512,0.059999999999999956,0.3,0.2,0.44000000000000006
26,48000,3,2,2,0,0,2,2,17000,15000,0,0,3,0.8823529411764706,0.27999999999999997,0.21999999999999997,0.10666666666666666,0.3933333333333334
40,150000,1,2,1,1,3,2,2,127500,30000,860000,1,2,0.23529411764705882,0.25999999999999995,0.19999999999999998,0.18333333333333332,0.3566666666666667
28,83000,3,3,1,1,1,2,2,30000,25000,870000,1,3,0.8333333333333334,0.26999999999999996,0.21999999999999997,0.11333333333333334,0.3966666666666667
58,32000,1,3,3,1,3,1,1,20500,5000,260000,1,1,0.24390243902439024,0.05,0.25,0.2,0.5
37,142000,1,4,1,1,3,1,2,120500,25000,550000,1,2,0.2074688796680498,0.15499999999999997,0.3,0.2,0.345
23,89000,2,3,1,0,0,3,2,37500,25000,1010000,1,3,0.6666666666666666,0.41500000000000004,0.14,0.07666666666666666,0.3683333333333333
44,133000,1,2,1,1,2,2,2,113000,50000,270000,1,2,0.4424778761061947,0.24,0.19999999999999998,0.19666666666666663,0.3633333333333334
33,119000,1,3,1,1,2,2,2,85000,25000,450000,1,2,0.29411764705882354,0.295,0.19999999999999998,0.16,0.345
28,80000,2,2,1,1,2,2,2,43500,15000,0,0,3,0.3448275862068966,0.26999999999999996,0.24,0.14333333333333334,0.3466666666666667
45,119000,2,2,1,1,1,2,2,65500,35000,970000,1,1,0.5343511450381679,0.18499999999999997,0.24,0.19999999999999998,0.3750000000000001
21,69000,2,3,1,0,0,2,2,31000,15000,190000,1,3,0.4838709677419355,0.305,0.24,0.12,0.3350000000000001
39,93000,2,1,1,1,2,2,2,48000,25000,0,0,2,0.5208333333333334,0.21499999999999997,0.24,0.18000000000000002,0.365
47,18000,2,4,3,1,3,1,1,11000,0,180000,1,1,0.0,0.05,0.29,0.2,0.45999999999999996
26,9000,1,2,4,0,0,2,2,6000,0,0,0,3,0.0,0.32999999999999996,0.19999999999999998,0.13666666666666666,0.3333333333333335
63,166000,1,3,2,2,1,1,2,101000,50000,550000,1,1,0.49504950495049505,0.05,0.3,0.2,0.44999999999999996
27,24000,1,3,3,0,0,2,2,12000,0,40000,1,3,0.0,0.32499999999999996,0.19999999999999998,0.13999999999999999,0.3350000000000001
54,124000,3,3,1,1,2,1,1,66000,25000,630000,1,1,0.3787878787878788,0.05,0.27,0.2,0.48
33,14000,2,3,4,1,1,2,2,8000,0,0,0,2,0.0,0.24499999999999997,0.24,0.16,0.355
36,121000,1,3,1,1,1,2,2,97500,45000,1050000,1,2,0.46153846153846156,0.27999999999999997,0.19999999999999998,0.17,0.35
55,9000,1,1,4,1,2,1,2,6000,0,240000,1,1,0.0,0.06499999999999996,0.3,0.2,0.43500000000000005
59,12000,3,2,4,2,0,1,1,6000,0,0,0,1,0.0,0.05,0.27,0.2,0.48
23,91000,1,1,2,0,0,3,3,40000,35000,0,0,3,0.875,0.525,0.15,0.07666666666666666,0.2483333333333333
21,9000,2,3,4,0,0,2,2,6000,0,0,0,3,0.0,0.305,0.24,0.12,0.3350000000000001
25,68000,2,2,2,0,0,3,2,24000,20000,0,0,3,0.8333333333333334,0.405,0.14,0.08333333333333334,0.3716666666666666
61,136000,2,3,1,1,2,1,1,78500,25000,0,0,1,0.3184713375796178,0.05,0.29,0.2,0.45999999999999996
23,84000,1,1,1,0,0,2,2,39000,20000,550000,1,3,0.5128205128205128,0.345,0.19999999999999998,0.12666666666666665,0.32833333333333337
48,78000,3,1,2,1,2,1,1,33000,20000,0,0,1,0.6060606060606061,0.05,0.27,0.2,0.48
37,68000,3,3,1,1,2,2,2,36000,25000,210000,1,2,0.6944444444444444,0.22499999999999998,0.21999999999999997,0.1433333333333333,0.41166666666666674
45,97000,2,1,2,1,1,1,1,57000,15000,0,0,1,0.2631578947368421,0.05,0.29,0.2,0.45999999999999996
63,9000,2,1,4,1,2,1,2,6000,0,210000,1,1,0.0,0.05,0.33999999999999997,0.2,0.41000000000000003
53,100000,3,1,1,1,2,1,1,60000,35000,530000,1,1,0.5833333333333334,0.05,0.27,0.2,0.48
29,90000,2,4,2,1,1,1,2,46000,15000,430000,1,3,0.32608695652173914,0.145,0.33999999999999997,0.19666666666666666,0.31833333333333336
55,28000,1,3,3,2,0,1,1,18500,5000,0,0,1,0.2702702702702703,0.05,0.25,0.2,0.5
33,28000,2,2,3,1,1,1,1,17500,5000,0,0,2,0.2857142857142857,0.06499999999999997,0.29,0.2,0.44500000000000006
50,9000,2,2,4,2,1,1,2,6000,0,210000,1,1,0.0,0.05,0.33999999999999997,0.2,0.41000000000000003
34,118000,1,2,1,1,1,1,2,79500,30000,520000,1,2,0.37735849056603776,0.16999999999999998,0.3,0.2,0.33000000000000007
27,9000,2,3,4,0,0,2,2,6000,0,220000,1,3,0.0,0.27499999999999997,0.24,0.13999999999999999,0.3450000000000001
33,62000,3,3,2,1,2,2,2,28000,15000,0,0,2,0.5357142857142857,0.24499999999999997,0.21999999999999997,0.13,0.405
42,69000,3,1,1,1,4,1,1,39500,10000,70000,1,2,0.25316455696202533,0.05,0.27,0.2,0.48
59,120000,1,1,1,1,2,2,2,87500,40000,0,0,1,0.45714285714285713,0.16499999999999998,0.19999999999999998,0.2,0.43500000000000005
40,93000,1,1,2,1,1,1,2,72500,25000,300000,1,2,0.3448275862068966,0.13999999999999996,0.3,0.2,0.3600000000000001
35,89000,3,3,1,1,3,1,1,49000,10000,650000,1,2,0.20408163265306123,0.05499999999999999,0.27,0.18666666666666668,0.4883333333333333
64,152000,3,3,2,1,1,1,2,76000,40000,0,0,1,0.5263157894736842,0.05,0.32,0.2,0.42999999999999994
37,131000,1,2,2,1,2,2,2,95000,50000,650000,1,2,0.5263157894736842,0.27499999999999997,0.19999999999999998,0.1733333333333333,0.3516666666666667
43,97000,3,1,1,1,3,1,1,52000,10000,1160000,1,2,0.19230769230769232,0.05,0.27,0.2,0.48
45,81000,3,1,2,1,2,1,1,36000,20000,0,0,1,0.5555555555555556,0.05,0.27,0.2,0.48
44,112000,2,4,2,1,2,1,1,64500,40000,0,0,2,0.6201550387596899,0.05,0.29,0.2,0.45999999999999996
64,135000,2,2,1,1,1,1,1,75000,45000,620000,1,1,0.6,0.05,0.29,0.2,0.45999999999999996
60,205000,1,3,1,2,0,2,2,113500,55000,0,0,1,0.4845814977973568,0.15999999999999998,0.19999999999999998,0.2,0.43999999999999995
48,195000,1,3,1,1,2,1,2,141500,50000,1000000,1,1,0.35335689045936397,0.09999999999999999,0.3,0.2,0.4
34,122000,1,2,1,1,1,2,2,84500,25000,520000,1,2,0.2958579881656805,0.29,0.19999999999999998,0.1633333333333333,0.3466666666666667
64,20000,3,1,3,1,4,1,1,14000,0,330000,1,1,0.0,0.05,0.27,0.2,0.48
20,66000,1,1,1,0,0,3,3,31500,10000,0,0,3,0.31746031746031744,0.54,0.15,0.06666666666666668,0.2433333333333333
44,115000,1,3,2,1,3,1,2,72500,20000,600000,1,2,0.27586206896551724,0.11999999999999998,0.3,0.2,0.38
26,100000,1,3,1,0,0,2,2,48500,15000,0,0,3,0.30927835051546393,0.32999999999999996,0.19999999999999998,0.13666666666666666,0.3333333333333335
28,92000,2,3,1,1,3,1,2,59500,20000,1000000,1,3,0.33613445378151263,0.14999999999999997,0.33999999999999997,0.19333333333333336,0.31666666666666665
43,13000,3,2,3,1,2,1,1,6000,0,0,0,2,0.0,0.05,0.27,0.2,0.48
20,75000,1,1,2,0,0,3,2,47000,30000,30000,1,3,0.6382978723404256,0.48000000000000004,0.1,0.06666666666666668,0.3533333333333333
63,233000,1,4,1,1,2,1,2,186000,50000,480000,1,1,0.26881720430107525,0.05,0.3,0.2,0.44999999999999996
27,83000,2,3,1,0,0,3,2,41000,25000,280000,1,3,0.6097560975609756,0.395,0.14,0.09,0.375
43,129000,1,2,1,1,3,1,2,90500,35000,810000,1,2,0.3867403314917127,0.12499999999999999,0.3,0.2,0.375
30,138000,1,4,1,1,3,1,2,107500,40000,0,0,2,0.37209302325581395,0.19,0.3,0.2,0.31000000000000005
36,143000,1,3,2,1,2,1,2,116500,45000,620000,1,2,0.38626609442060084,0.15999999999999998,0.3,0.2,0.3400000000000001
27,104000,1,2,1,0,0,2,2,64500,30000,710000,1,3,0.46511627906976744,0.32499999999999996,0.19999999999999998,0.13999999999999999,0.3350000000000001
54,131000,1,3,1,1,1,1,2,89500,50000,0,0,1,0.5586592178770949,0.06999999999999997,0.3,0.2,0.43000000000000005
54,183000,1,3,1,1,1,2,2,134500,70000,1050000,1,1,0.5204460966542751,0.18999999999999995,0.19999999999999998,0.2,0.41000000000000014
52,18000,1,3,3,1,2,1,2,15500,5000,160000,1,1,0.3225806451612903,0.07999999999999997,0.3,0.2,0.42000000000000004
24,15000,3,1,4,0,0,2,2,6000,0,210000,1,3,0.0,0.29,0.21999999999999997,0.09999999999999998,0.39
61,172000,1,2,1,1,2,1,2,109000,55000,0,0,1,0.5045871559633027,0.05,0.3,0.2,0.44999999999999996
58,147000,2,4,2,2,1,1,1,66000,30000,1020000,1,1,0.45454545454545453,0.05,0.29,0.2,0.45999999999999996
60,126000,2,1,1,1,1,1,2,60500,45000,1110000,1,1,0.743801652892562,0.05,0.33999999999999997,0.2,0.41000000000000003
47,180000,1,2,1,1,1,1,2,142500,55000,460000,1,1,0.38596491228070173,0.105,0.3,0.2,0.395
26,87000,2,2,2,0,0,2,2,38500,30000,1170000,1,3,0.7792207792207793,0.27999999999999997,0.24,0.13666666666666666,0.34333333333333327
28,21000,1,2,3,1,2,2,2,16500,5000,0,0,3,0.30303030303030304,0.31999999999999995,0.19999999999999998,0.14333333333333334,0.3366666666666668
27,9000,3,3,4,0,0,2,2,6000,0,0,0,3,0.0,0.27499999999999997,0.21999999999999997,0.10999999999999999,0.395
31,107000,1,4,2,1,2,2,2,82500,35000,0,0,2,0.42424242424242425,0.305,0.19999999999999998,0.1533333333333333,0.3416666666666667
53,115000,1,1,1,1,1,1,2,76500,45000,1120000,1,1,0.5882352941176471,0.07499999999999997,0.3,0.2,0.42500000000000004
52,120000,1,1,2,2,1,2,2,60500,30000,0,0,1,0.49586776859504134,0.19999999999999996,0.19999999999999998,0.2,0.40000000000000013
42,72000,3,1,1,1,2,1,1,35000,10000,70000,1,2,0.2857142857142857,0.05,0.27,0.2,0.48
43,135000,2,3,2,1,2,2,2,75500,30000,1180000,1,2,0.3973509933774834,0.19499999999999998,0.24,0.19333333333333333,0.3716666666666667
56,123000,2,3,1,1,2,1,2,73500,30000,0,0,1,0.40816326530612246,0.05,0.33999999999999997,0.2,0.41000000000000003
54,173000,1,2,2,1,1,1,2,129500,50000,0,0,1,0.3861003861003861,0.06999999999999997,0.3,0.2,0.43000000000000005
63,193000,2,3,1,1,2,1,2,96000,65000,0,0,1,0.6770833333333334,0.05,0.33999999999999997,0.2,0.41000000000000003
59,185000,1,3,1,1,3,1,2,122500,50000,0,0,1,0.40816326530612246,0.05,0.3,0.2,0.44999999999999996
41,34000,3,3,3,1,1,2,1,19000,5000,0,0,2,0.2631578947368421,0.145,0.16999999999999996,0.15666666666666662,0.5283333333333334
46,126000,1,4,1,1,3,1,2,107000,35000,460000,1,1,0.32710280373831774,0.10999999999999997,0.3,0.2,0.39
54,189000,1,2,1,1,2,1,2,160500,60000,720000,1,1,0.37383177570093457,0.06999999999999997,0.3,0.2,0.43000000000000005
20,71000,1,3,1,0,0,2,2,35000,25000,0,0,3,0.7142857142857143,0.35999999999999993,0.19999999999999998,0.11666666666666667,0.32333333333333336
54,166000,1,2,1,1,3,1,2,115000,25000,330000,1,1,0.21739130434782608,0.06999999999999997,0.3,0.2,0.43000000000000005
56,129000,2,3,1,1,3,1,1,74500,20000,880000,1,1,0.2684563758389262,0.05,0.29,0.2,0.45999999999999996
33,91000,1,3,1,1,1,2,2,62500,30000,530000,1,2,0.48,0.295,0.19999999999999998,0.16,0.345
22,13000,2,3,3,0,0,1,1,7000,0,130000,1,3,0.0,0.11999999999999998,0.29,0.17333333333333334,0.41666666666666674
20,73000,1,3,1,0,0,2,2,49500,30000,100000,1,3,0.6060606060606061,0.35999999999999993,0.19999999999999998,0.11666666666666667,0.32333333333333336
24,11000,2,1,4,0,0,2,2,6000,0,130000,1,3,0.0,0.29,0.24,0.12999999999999998,0.33999999999999997
45,110000,1,2,2,1,2,1,2,93000,35000,460000,1,1,0.3763440860215054,0.11499999999999998,0.3,0.2,0.385
33,114000,1,4,1,1,1,3,3,87000,40000,0,0,2,0.45977011494252873,0.4749999999999999,0.15,0.11000000000000001,0.2650000000000001
58,190000,2,4,2,1,3,1,2,122000,25000,430000,1,1,0.20491803278688525,0.05,0.33999999999999997,0.2,0.41000000000000003
46,135000,1,1,1,1,2,1,2,104000,20000,520000,1,1,0.19230769230769232,0.10999999999999997,0.3,0.2,0.39
28,104000,1,1,2,1,2,3,2,81000,35000,230000,1,3,0.43209876543209874,0.44,0.1,0.09333333333333335,0.3666666666666666
34,65000,3,1,1,1,2,2,1,34000,25000,0,0,2,0.7352941176470589,0.17999999999999997,0.16999999999999996,0.1333333333333333,0.5166666666666668
34,65000,3,3,1,1,3,1,1,35000,15000,240000,1,2,0.42857142857142855,0.05999999999999997,0.27,0.18333333333333332,0.4866666666666667
45,13000,1,3,3,1,1,1,1,9500,5000,0,0,1,0.5263157894736842,0.05499999999999998,0.25,0.2,0.495
61,26000,1,1,3,1,2,1,1,21000,5000,240000,1,1,0.23809523809523808,0.05,0.25,0.2,0.5
32,19000,2,2,3,1,2,1,1,13500,5000,180000,1,2,0.37037037037037035,0.06999999999999998,0.29,0.2,0.43999999999999995
51,207000,1,3,1,2,0,1,2,93500,65000,1080000,1,1,0.6951871657754011,0.08499999999999998,0.3,0.2,0.41500000000000004
58,228000,1,3,2,1,2,2,2,194000,65000,280000,1,1,0.33505154639175255,0.16999999999999998,0.19999999999999998,0.2,0.42999999999999994
51,151000,1,2,1,1,2,1,2,105000,55000,210000,1,1,0.5238095238095238,0.08499999999999998,0.3,0.2,0.41500000000000004
23,74000,2,2,1,0,0,2,2,37500,20000,0,0,3,0.5333333333333333,0.295,0.24,0.12666666666666665,0.3383333333333334
49,126000,2,2,1,1,1,1,2,58000,25000,410000,1,1,0.43103448275862066,0.05,0.33999999999999997,0.2,0.41000000000000003
56,162000,1,2,2,1,3,1,2,137500,45000,210000,1,1,0.32727272727272727,0.059999999999999956,0.3,0.2,0.44000000000000006
42,124000,1,2,1,1,1,3,2,76000,30000,520000,1,2,0.39473684210526316,0.37000000000000005,0.1,0.14000000000000004,0.3899999999999999
58,198000,1,3,1,1,2,1,2,119500,65000,1160000,1,1,0.5439330543933054,0.05,0.3,0.2,0.44999999999999996
64,34000,2,3,3,1,1,1,1,14500,5000,250000,1,1,0.3448275862068966,0.05,0.29,0.2,0.45999999999999996
34,142000,1,3,1,1,1,2,2,75500,45000,440000,1,2,0.5960264900662252,0.29,0.19999999999999998,0.1633333333333333,0.3466666666666667
62,208000,1,3,1,1,1,1,2,136500,45000,940000,1,1,0.32967032967032966,0.05,0.3,0.2,0.44999999999999996
48,92000,2,1,1,1,2,2,2,64500,20000,270000,1,1,0.31007751937984496,0.16999999999999998,0.24,0.2,0.39
55,25000,1,2,3,2,1,1,1,14500,5000,200000,1,1,0.3448275862068966,0.05,0.25,0.2,0.5
32,83000,2,1,1,1,1,2,2,43500,25000,770000,1,2,0.5747126436781609,0.24999999999999997,0.24,0.15666666666666665,0.3533333333333334
51,136000,1,1,1,1,1,1,2,75500,45000,1040000,1,1,0.5960264900662252,0.08499999999999998,0.3,0.2,0.41500000000000004
26,30000,1,3,3,0,0,2,2,16500,5000,0,0,3,0.30303030303030304,0.32999999999999996,0.19999999999999998,0.13666666666666666,0.3333333333333335
41,18000,1,4,3,1,3,1,1,13000,0,90000,1,2,0.0,0.075,0.25,0.2,0.475
47,93000,2,1,1,1,1,1,1,57000,35000,0,0,1,0.6140350877192983,0.05,0.29,0.2,0.45999999999999996
21,53000,3,2,2,0,0,1,1,16500,20000,0,0,3,1.2121212121212122,0.12499999999999999,0.27,0.13999999999999999,0.46499999999999997
61,108000,3,3,2,1,3,1,1,54000,25000,1140000,1,1,0.46296296296296297,0.05,0.27,0.2,0.48
64,154000,1,1,2,1,1,1,2,95000,45000,420000,1,1,0.47368421052631576,0.05,0.3,0.2,0.44999999999999996
25,63000,2,2,1,0,0,2,2,26500,15000,0,0,3,0.5660377358490566,0.285,0.24,0.13333333333333333,0.3416666666666668
47,29000,1,3,3,1,2,1,1,17000,5000,0,0,1,0.29411764705882354,0.05,0.25,0.2,0.5
47,159000,1,3,1,1,1,1,2,128500,65000,0,0,1,0.5058365758754864,0.105,0.3,0.2,0.395
63,108000,3,1,1,2,1,1,1,51000,25000,800000,1,1,0.49019607843137253,0.05,0.27,0.2,0.48
63,129000,1,2,1,1,2,1,2,91500,45000,0,0,1,0.4918032786885246,0.05,0.3,0.2,0.44999999999999996
39,142000,1,3,1,1,2,1,2,120500,35000,580000,1,2,0.29045643153526973,0.14499999999999996,0.3,0.2,0.355
49,113000,1,2,1,1,1,2,2,88000,45000,0,0,1,0.5113636363636364,0.21499999999999997,0.19999999999999998,0.2,0.385
30,103000,1,1,2,1,2,3,2,87500,20000,820000,1,2,0.22857142857142856,0.43,0.1,0.1,0.37
47,135000,1,3,1,1,2,1,2,78500,35000,0,0,1,0.445859872611465,0.105,0.3,0.2,0.395
44,101000,2,1,1,1,1,2,2,56000,20000,1180000,1,2,0.35714285714285715,0.18999999999999997,0.24,0.19666666666666663,0.3733333333333334
58,182000,1,3,1,2,0,2,2,92500,60000,0,0,1,0.6486486486486487,0.16999999999999998,0.19999999999999998,0.2,0.42999999999999994
52,80000,3,1,1,1,3,1,1,43000,15000,210000,1,1,0.3488372093023256,0.05,0.27,0.2,0.48
20,14000,3,4,4,0,0,2,1,6000,0,0,0,3,0.0,0.24999999999999997,0.16999999999999996,0.08666666666666667,0.4933333333333334
46,183000,1,2,1,1,1,2,2,139500,35000,510000,1,1,0.25089605734767023,0.22999999999999998,0.19999999999999998,0.2,0.3700000000000001
32,108000,1,2,1,1,2,3,2,89000,30000,490000,1,2,0.33707865168539325,0.42,0.1,0.10666666666666666,0.3733333333333333
60,145000,1,1,1,1,2,1,2,86500,50000,1190000,1,1,0.5780346820809249,0.05,0.3,0.2,0.44999999999999996
22,77000,2,2,1,0,0,2,2,33000,20000,0,0,3,0.6060606060606061,0.3,0.24,0.12333333333333332,0.33666666666666667
58,154000,1,3,1,1,3,1,2,121000,25000,620000,1,1,0.2066115702479339,0.05,0.3,0.2,0.44999999999999996
25,70000,2,4,2,0,0,2,2,29000,25000,0,0,3,0.8620689655172413,0.285,0.24,0.13333333333333333,0.3416666666666668
27,9000,1,2,4,0,0,1,2,6000,0,210000,1,3,0.0,0.20499999999999996,0.3,0.19,0.30500000000000016
46,97000,2,2,1,1,3,1,2,64000,15000,0,0,1,0.234375,0.05999999999999997,0.33999999999999997,0.2,0.40000000000000013
28,81000,1,3,2,1,4,2,2,58500,20000,0,0,3,0.3418803418803419,0.31999999999999995,0.19999999999999998,0.14333333333333334,0.3366666666666668
56,152000,1,3,2,1,1,1,2,109500,25000,660000,1,1,0.228310502283105,0.059999999999999956,0.3,0.2,0.44000000000000006
52,15000,3,2,3,1,3,1,1,7500,0,200000,1,1,0.0,0.05,0.27,0.2,0.48
61,107000,2,2,1,1,1,1,1,46500,40000,1110000,1,1,0.8602150537634409,0.05,0.29,0.2,0.45999999999999996
63,219000,1,2,1,2,0,1,2,132000,55000,0,0,1,0.4166666666666667,0.05,0.3,0.2,0.44999999999999996
43,90000,3,3,1,1,2,1,1,42500,15000,0,0,2,0.35294117647058826,0.05,0.27,0.2,0.48
34,118000,1,1,2,1,1,2,2,92000,20000,0,0,2,0.21739130434782608,0.29,0.19999999999999998,0.1633333333333333,0.3466666666666667
51,25000,3,3,3,1,3,1,1,12500,5000,280000,1,1,0.4,0.05,0.27,0.2,0.48
51,146000,2,2,1,1,1,1,2,70500,40000,470000,1,1,0.5673758865248227,0.05,0.33999999999999997,0.2,0.41000000000000003
43,119000,1,3,1,1,2,2,2,100500,30000,900000,1,2,0.29850746268656714,0.245,0.19999999999999998,0.19333333333333333,0.3616666666666667
60,34000,1,1,3,1,2,1,2,29000,10000,0,0,1,0.3448275862068966,0.05,0.3,0.2,0.44999999999999996
31,34000,1,2,3,1,2,1,1,23500,5000,50000,1,2,0.2127659574468085,0.12499999999999999,0.25,0.2,0.42500000000000004
58,13000,2,2,4,1,1,1,2,7000,0,50000,1,1,0.0,0.05,0.33999999999999997,0.2,0.41000000000000003
21,68000,2,3,2,0,0,3,2,27500,25000,180000,1,3,0.9090909090909091,0.42500000000000004,0.14,0.07,0.365
22,68000,1,1,1,0,0,3,2,40000,15000,0,0,3,0.375,0.47000000000000003,0.1,0.07333333333333333,0.3566666666666666
56,193000,1,2,2,2,0,1,2,115500,50000,890000,1,1,0.4329004329004329,0.059999999999999956,0.3,0.2,0.44000000000000006
36,92000,3,2,2,1,3,1,1,57500,20000,1170000,1,2,0.34782608695652173,0.05,0.27,0.19000000000000003,0.49
21,46000,3,2,1,0,0,2,2,14000,10000,220000,1,3,0.7142857142857143,0.305,0.21999999999999997,0.09,0.3850000000000001
21,74000,2,3,1,0,0,2,2,38500,20000,0,0,3,0.5194805194805194,0.305,0.24,0.12,0.3350000000000001
47,180000,1,3,2,1,1,2,2,147000,30000,0,0,1,0.20408163265306123,0.22499999999999998,0.19999999999999998,0.2,0.375
42,179000,1,3,1,1,2,2,2,121000,35000,850000,1,2,0.2892561983471074,0.25,0.19999999999999998,0.19000000000000003,0.36
56,184000,1,2,2,1,1,1,2,128000,45000,210000,1,1,0.3515625,0.059999999999999956,0.3,0.2,0.44000000000000006
51,80000,3,3,2,1,2,2,1,34000,25000,230000,1,1,0.7352941176470589,0.09499999999999997,0.16999999999999996,0.19,0.5450000000000002
52,13000,1,2,4,1,3,1,2,10500,0,0,0,1,0.0,0.07999999999999997,0.3,0.2,0.42000000000000004
20,62000,2,1,1,0,0,2,2,27500,20000,150000,1,3,0.7272727272727273,0.30999999999999994,0.24,0.11666666666666667,0.33333333333333337
38,111000,1,1,1,1,2,2,2,71500,25000,0,0,2,0.34965034965034963,0.26999999999999996,0.19999999999999998,0.17666666666666667,0.3533333333333334
21,58000,2,2,2,0,0,2,2,24500,20000,120000,1,3,0.8163265306122449,0.305,0.24,0.12,0.3350000000000001
63,191000,2,3,1,1,2,1,1,131000,45000,990000,1,1,0.3435114503816794,0.05,0.29,0.2,0.45999999999999996
45,102000,3,3,2,1,2,1,2,47000,40000,980000,1,1,0.851063829787234,0.06499999999999997,0.32,0.2,0.41500000000000004
